date,b3_price,b3_price_dol
27/04/2021,"98,88","18,09"
28/04/2021,"99,25","18,5"
29/04/2021,"99,78","18,64"
30/04/2021,"99,76","18,36"
03/05/2021,"99,84","18,41"
04/05/2021,"99,79","18,37"
05/05/2021,"100,24","18,68"
06/05/2021,"100,9","19,11"
07/05/2021,"101,56","19,45"
10/05/2021,"101,23","19,35"
11/05/2021,"101,4","19,41"
12/05/2021,"102,39","19,33"
13/05/2021,"101,79","19,21"
14/05/2021,"101,34","19,23"
17/05/2021,"101,08","19,2"
18/05/2021,"103,23","19,68"
19/05/2021,"102,72","19,33"
20/05/2021,"102,06","19,35"
21/05/2021,"101,93","19,06"
24/05/2021,"101,12",19
25/05/2021,"98,66","18,49"
26/05/2021,"96,83","18,24"
27/05/2021,"97,69","18,6"
28/05/2021,"99,24","19,02"
31/05/2021,"100,07","19,15"
01/06/2021,"99,23","19,24"
02/06/2021,"98,67","19,38"
04/06/2021,"98,63","19,59"
07/06/2021,"97,04","19,27"
08/06/2021,"96,57","19,17"
09/06/2021,"95,72","18,88"
10/06/2021,"95,21","18,8"
11/06/2021,"94,88","18,53"
14/06/2021,"94,29","18,59"
15/06/2021,"93,27","18,5"
16/06/2021,"91,6","18,16"
17/06/2021,"89,56","17,83"
18/06/2021,"89,87","17,73"
21/06/2021,"88,52","17,63"
22/06/2021,"87,72","17,67"
23/06/2021,"87,27","17,58"
24/06/2021,"86,25","17,58"
25/06/2021,"86,27","17,42"
28/06/2021,"86,63","17,59"
29/06/2021,"87,14","17,65"
30/06/2021,"89,57","18,01"
01/07/2021,"91,25","18,08"
02/07/2021,"92,1","18,24"
05/07/2021,"93,6","18,41"
06/07/2021,"94,44","18,16"
07/07/2021,"95,17","18,18"
08/07/2021,"95,93","18,26"
09/07/2021,"96,21","18,36"
12/07/2021,"96,24","18,62"
13/07/2021,"96,43","18,65"
14/07/2021,"97,19","19,16"
15/07/2021,"98,01","19,12"
16/07/2021,"97,34","19,01"
19/07/2021,"97,48","18,55"
20/07/2021,"97,49","18,68"
21/07/2021,"98,54","19,01"
22/07/2021,"99,19","19,04"
23/07/2021,"99,99","19,17"
26/07/2021,"100,63","19,45"
27/07/2021,"101,6","19,62"
28/07/2021,"102,44","20,03"
29/07/2021,"101,93","20,08"
30/07/2021,"101,4","19,51"
02/08/2021,"101,47","19,65"
03/08/2021,"100,96","19,48"
04/08/2021,"100,21","19,31"
05/08/2021,"100,31","19,28"
06/08/2021,"99,1","18,91"
09/08/2021,"99,45","18,99"
10/08/2021,"98,16","18,88"
11/08/2021,"98,35","18,81"
12/08/2021,"98,97","18,84"
13/08/2021,"99,87","19,05"
16/08/2021,"99,89","18,9"
17/08/2021,"99,4","18,87"
18/08/2021,"99,32","18,53"
19/08/2021,"99,02","18,28"
20/08/2021,"98,79","18,37"
23/08/2021,"98,21","18,28"
24/08/2021,"97,59","18,56"
25/08/2021,"97,49","18,71"
26/08/2021,"97,06","18,49"
27/08/2021,"95,84","18,45"
30/08/2021,"95,82","18,47"
31/08/2021,"94,76","18,31"
01/09/2021,"93,72","18,11"
02/09/2021,93,"17,94"
03/09/2021,"92,26","17,8"
06/09/2021,"92,5","17,87"
08/09/2021,"92,32","17,38"
09/09/2021,"92,15","17,36"
10/09/2021,"93,53","17,76"
13/09/2021,"93,71","17,91"
14/09/2021,"93,6","17,79"
15/09/2021,"93,43","17,82"
16/09/2021,"93,71","17,76"
17/09/2021,"93,67","17,73"
20/09/2021,"92,81","17,34"
21/09/2021,"92,08","17,43"
22/09/2021,"91,59","17,28"
23/09/2021,"90,83","17,11"
24/09/2021,"90,47","16,92"
27/09/2021,"91,18","16,95"
28/09/2021,"91,42","16,84"
29/09/2021,"91,45","16,85"
30/09/2021,"91,83","16,89"
01/10/2021,"91,76","17,11"
04/10/2021,"92,03","16,88"
05/10/2021,"92,22","16,86"
06/10/2021,"91,98","16,76"
07/10/2021,"91,12","16,56"
08/10/2021,"91,03","16,52"
11/10/2021,"91,02","16,45"
13/10/2021,"90,39","16,4"
14/10/2021,"90,13","16,33"
15/10/2021,"90,18","16,52"
18/10/2021,"89,89","16,3"
19/10/2021,"90,21","16,15"
20/10/2021,"89,56","16,15"
21/10/2021,"88,99","15,74"
22/10/2021,"89,27","15,83"
25/10/2021,"89,18","16,08"
26/10/2021,"88,27","15,86"
27/10/2021,"87,5","15,71"
28/10/2021,"86,89","15,44"
29/10/2021,"86,84","15,38"
01/11/2021,"86,97","15,34"
03/11/2021,"87,16","15,58"
04/11/2021,"86,4","15,39"
05/11/2021,"86,61","15,72"
08/11/2021,"85,69","15,44"
09/11/2021,"84,93","15,49"
10/11/2021,"84,51","15,38"
11/11/2021,"83,59","15,49"
12/11/2021,"82,75","15,17"
16/11/2021,"82,74","15,07"
17/11/2021,"82,45","14,92"
18/11/2021,"82,34","14,79"
19/11/2021,"82,84","14,78"
22/11/2021,"82,81","14,81"
23/11/2021,"83,26","14,85"
24/11/2021,"83,59","14,94"
25/11/2021,"83,63","15,03"
26/11/2021,"83,72","14,95"
29/11/2021,"83,44","14,86"